variant_name,mask_name,width_core,halo_width,keep_core,keep_halo,side_sigma,feather_radius,core_coverage_percent,halo_coverage_percent,edit_coverage_percent,mean_abs_removed_core,mean_abs_removed_halo,mean_abs_removed_outside,core_outside_ratio
D85b_wc3_h8_kc0.10_kh0.3_s15,D85b,3,8,0.1,0.3,15.0,2.0,4.561451247165533,21.418873190301763,25.980324437467296,200.49427795410156,139.2872314453125,0.0,200494277.95410156
D85b_wc5_h4_kc0.00_kh0.2_s10,D85b,5,4,0.0,0.2,10.0,2.0,9.916012558869703,10.497592883307169,20.41360544217687,214.04226684570312,149.94189453125,0.0,214042266.84570312
D85b_wc5_h4_kc0.00_kh0.3_s10,D85b,5,4,0.0,0.3,10.0,2.0,9.916012558869703,10.497592883307169,20.41360544217687,214.04226684570312,131.19908142089844,0.0,214042266.84570312
D85b_wc5_h4_kc0.05_kh0.2_s10,D85b,5,4,0.05,0.2,10.0,2.0,9.916012558869703,10.497592883307169,20.41360544217687,203.3402099609375,149.94189453125,0.0,203340209.9609375
D85b_wc5_h4_kc0.05_kh0.3_s10,D85b,5,4,0.05,0.3,10.0,2.0,9.916012558869703,10.497592883307169,20.41360544217687,203.3402099609375,131.19908142089844,0.0,203340209.9609375
D85b_wc5_h4_kc0.10_kh0.2_s10,D85b,5,4,0.1,0.2,10.0,2.0,9.916012558869703,10.497592883307169,20.41360544217687,192.63803100585938,149.94189453125,0.0,192638031.00585938
D85b_wc5_h4_kc0.10_kh0.3_s10,D85b,5,4,0.1,0.3,10.0,2.0,9.916012558869703,10.497592883307169,20.41360544217687,192.63803100585938,131.19908142089844,0.0,192638031.00585938
D85b_wc5_h4_kc0.00_kh0.2_s15,D85b,5,4,0.0,0.2,15.0,2.0,9.916012558869703,10.497592883307169,20.41360544217687,216.2001495361328,155.61476135253906,0.0,216200149.5361328
D85b_wc5_h4_kc0.00_kh0.3_s15,D85b,5,4,0.0,0.3,15.0,2.0,9.916012558869703,10.497592883307169,20.41360544217687,216.2001495361328,136.16285705566406,0.0,216200149.5361328
D85b_wc5_h4_kc0.05_kh0.2_s15,D85b,5,4,0.05,0.2,15.0,2.0,9.916012558869703,10.497592883307169,20.41360544217687,205.39015197753906,155.61476135253906,0.0,205390151.97753906
D85b_wc5_h4_kc0.05_kh0.3_s15,D85b,5,4,0.05,0.3,15.0,2.0,9.916012558869703,10.497592883307169,20.41360544217687,205.39015197753906,136.16285705566406,0.0,205390151.97753906
D85b_wc5_h4_kc0.10_kh0.2_s15,D85b,5,4,0.1,0.2,15.0,2.0,9.916012558869703,10.497592883307169,20.41360544217687,194.58016967773438,155.61476135253906,0.0,194580169.67773438
D85b_wc5_h4_kc0.10_kh0.3_s15,D85b,5,4,0.1,0.3,15.0,2.0,9.916012558869703,10.497592883307169,20.41360544217687,194.58016967773438,136.16285705566406,0.0,194580169.67773438
D85b_wc5_h8_kc0.00_kh0.2_s10,D85b,5,8,0.0,0.2,10.0,2.0,9.916012558869703,21.94753183324612,31.863544392115823,226.83628845214844,149.04942321777344,0.0,226836288.45214844
D85b_wc5_h8_kc0.00_kh0.3_s10,D85b,5,8,0.0,0.3,10.0,2.0,9.916012558869703,21.94753183324612,31.863544392115823,226.83628845214844,130.41815185546875,0.0,226836288.45214844
D85b_wc5_h8_kc0.05_kh0.2_s10,D85b,5,8,0.05,0.2,10.0,2.0,9.916012558869703,21.94753183324612,31.863544392115823,215.49452209472656,149.04942321777344,0.0,215494522.09472656
D85b_wc5_h8_kc0.05_kh0.3_s10,D85b,5,8,0.05,0.3,10.0,2.0,9.916012558869703,21.94753183324612,31.863544392115823,215.49452209472656,130.41815185546875,0.0,215494522.09472656
D85b_wc5_h8_kc0.10_kh0.2_s10,D85b,5,8,0.1,0.2,10.0,2.0,9.916012558869703,21.94753183324612,31.863544392115823,204.15269470214844,149.04942321777344,0.0,204152694.70214844
D85b_wc5_h8_kc0.10_kh0.3_s10,D85b,5,8,0.1,0.3,10.0,2.0,9.916012558869703,21.94753183324612,31.863544392115823,204.15269470214844,130.41815185546875,0.0,204152694.70214844
D85b_wc5_h8_kc0.00_kh0.2_s15,D85b,5,8,0.0,0.2,15.0,2.0,9.916012558869703,21.94753183324612,31.863544392115823,225.9747772216797,152.01609802246094,0.0,225974777.2216797
D85b_wc5_h8_kc0.00_kh0.3_s15,D85b,5,8,0.0,0.3,15.0,2.0,9.916012558869703,21.94753183324612,31.863544392115823,225.9747772216797,133.01402282714844,0.0,225974777.2216797
D85b_wc5_h8_kc0.05_kh0.2_s15,D85b,5,8,0.05,0.2,15.0,2.0,9.916012558869703,21.94753183324612,31.863544392115823,214.6760711669922,152.01609802246094,0.0,214676071.1669922
D85b_wc5_h8_kc0.05_kh0.3_s15,D85b,5,8,0.05,0.3,15.0,2.0,9.916012558869703,21.94753183324612,31.863544392115823,214.6760711669922,133.01402282714844,0.0,214676071.1669922
